epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,2998.12,1.35562,1.26284,1.4163,0.4943,0.57143,0.4917,0.16258,2.35069,2.31644,3.21268,0.00079238,0.00079238,0.00079238
137,3019.99,1.37019,1.2515,1.43124,0.5942,0.62836,0.50615,0.16512,2.14486,2.17543,2.89068,0.000787665,0.000787665,0.000787665
138,3041.3,1.39251,1.31552,1.44371,0.4619,0.57143,0.43978,0.13396,2.01415,2.27915,2.72364,0.000782949,0.000782949,0.000782949
139,3062.23,1.3559,1.2814,1.42497,0.61297,0.57143,0.55219,0.18728,2.12682,1.91296,2.79694,0.000778233,0.000778233,0.000778233
140,3088.24,1.38154,1.25696,1.42616,0.58629,0.64286,0.608,0.21877,2.05607,2.02459,2.87635,0.000773518,0.000773518,0.000773518
141,3119.26,1.3793,1.24669,1.45045,0.38357,0.57143,0.39237,0.20694,2.18898,2.55606,2.95408,0.000768802,0.000768802,0.000768802
142,3140.71,1.33695,1.24053,1.41405,0.36058,0.5,0.39996,0.18155,2.21948,2.53668,2.90828,0.000764086,0.000764086,0.000764086
143,3161.83,1.33606,1.22744,1.42609,0.48609,0.5,0.45352,0.18623,2.13393,2.52249,2.83486,0.000759371,0.000759371,0.000759371
144,3182.93,1.34113,1.21636,1.396,0.51944,0.21429,0.22116,0.11709,2.35538,2.79832,3.0076,0.000754655,0.000754655,0.000754655
145,3209.15,1.35554,1.23411,1.42897,0.55884,0.57143,0.50968,0.21822,2.19676,2.21988,2.92492,0.000749939,0.000749939,0.000749939
146,3236.45,1.33518,1.21676,1.41435,0.40317,0.57143,0.48513,0.16582,2.20632,2.39536,2.97216,0.000745223,0.000745223,0.000745223
147,3261.25,1.31662,1.22124,1.40039,0.49395,0.62817,0.45972,0.14437,2.21025,2.35019,2.98568,0.000740508,0.000740508,0.000740508
148,3286.74,1.31981,1.21132,1.39124,0.51448,0.64286,0.5372,0.19429,2.18038,2.1096,2.89854,0.000735792,0.000735792,0.000735792
149,3308.9,1.35153,1.23721,1.44192,0.58857,0.35714,0.41858,0.15428,2.3132,2.47316,3.07538,0.000731076,0.000731076,0.000731076
150,3330.27,1.32855,1.21233,1.41604,0.63385,0.61943,0.55452,0.22937,1.93234,2.08768,2.65548,0.000726361,0.000726361,0.000726361
151,3351.84,1.29766,1.15289,1.38953,0.72901,0.42857,0.40147,0.17754,2.11751,2.50081,2.81174,0.000721645,0.000721645,0.000721645
152,3373.01,1.30103,1.13713,1.37298,0.48552,0.64286,0.53427,0.2191,2.2972,2.43425,3.01578,0.000716929,0.000716929,0.000716929
153,3394.38,1.35178,1.18746,1.42921,0.62362,0.5,0.41354,0.13166,2.2951,2.511,2.96086,0.000712214,0.000712214,0.000712214
154,3417.87,1.32655,1.12792,1.40715,0.579,0.42857,0.47875,0.21592,2.2525,2.02135,2.86642,0.000707498,0.000707498,0.000707498
155,3439.21,1.29912,1.14171,1.38856,0.53305,0.57143,0.44867,0.17087,2.0606,2.1408,2.79148,0.000702782,0.000702782,0.000702782
156,3465.33,1.29311,1.12592,1.37996,0.431,0.59597,0.48199,0.21417,2.04888,2.21517,2.90751,0.000698066,0.000698066,0.000698066
157,3490,1.31298,1.17106,1.38856,0.47653,0.35714,0.40656,0.19488,2.02752,2.35217,2.81047,0.000693351,0.000693351,0.000693351
158,3511.46,1.31447,1.18815,1.39816,0.34992,0.5,0.37645,0.16816,2.1671,2.30462,2.9699,0.000688635,0.000688635,0.000688635
159,3538.7,1.30465,1.14328,1.37575,0.58511,0.64286,0.49408,0.20755,2.14585,1.90712,2.95721,0.000683919,0.000683919,0.000683919
160,3565.41,1.27383,1.13171,1.37725,0.63074,0.57143,0.5967,0.21935,2.07339,1.81039,3.01292,0.000679204,0.000679204,0.000679204
161,3592.07,1.31033,1.16539,1.40098,0.38457,0.42857,0.40463,0.18559,1.91455,2.41539,2.75936,0.000674488,0.000674488,0.000674488
162,3614.94,1.28938,1.10349,1.35776,0.65024,0.71429,0.54755,0.20302,2.2972,2.26114,3.1311,0.000669772,0.000669772,0.000669772
163,3636.28,1.27636,1.08257,1.36358,0.66375,0.71429,0.62891,0.23657,2.09173,2.12905,2.94618,0.000665057,0.000665057,0.000665057
164,3658.08,1.28275,1.12632,1.39077,0.62104,0.70298,0.54368,0.20039,2.16635,1.89206,3.02687,0.000660341,0.000660341,0.000660341
165,3679.24,1.28023,1.12096,1.39279,0.65719,0.78571,0.63051,0.21695,2.06022,1.78496,2.89802,0.000655625,0.000655625,0.000655625
166,3700.44,1.25933,1.1009,1.35265,0.61699,0.5,0.49796,0.19419,1.9744,2.16708,2.85699,0.000650909,0.000650909,0.000650909
167,3727.41,1.23623,1.09152,1.34281,0.40027,0.52528,0.40385,0.19249,1.96745,2.25259,2.74675,0.000646194,0.000646194,0.000646194
168,3748.89,1.27491,1.13613,1.37132,0.57692,0.71429,0.54218,0.19005,2.11945,2.03481,2.78044,0.000641478,0.000641478,0.000641478
169,3774.17,1.27215,1.11824,1.36507,0.66711,0.71429,0.61776,0.17606,2.30152,1.98791,3.03088,0.000636762,0.000636762,0.000636762
170,3801.26,1.27323,1.12689,1.37162,0.5806,0.6931,0.57663,0.1939,2.12453,2.11217,2.84526,0.000632047,0.000632047,0.000632047
171,3824.08,1.24992,1.14638,1.34371,0.83849,0.5,0.64067,0.20931,2.17127,1.86909,3.01732,0.000627331,0.000627331,0.000627331
172,3850.06,1.26714,1.09652,1.3571,0.67114,0.5,0.52839,0.18161,2.24436,2.04738,2.98395,0.000622615,0.000622615,0.000622615
173,3871.83,1.2751,1.10391,1.36369,0.57979,0.49332,0.42097,0.16478,2.12768,2.27207,2.72848,0.0006179,0.0006179,0.0006179
174,3897.56,1.24916,1.09022,1.34312,0.37831,0.57143,0.42022,0.16539,2.15487,2.01603,2.73407,0.000613184,0.000613184,0.000613184
175,3919.67,1.24928,1.08792,1.35832,0.47025,0.42857,0.45828,0.16572,2.14439,2.02603,2.87681,0.000608468,0.000608468,0.000608468
176,3946.73,1.27,1.09937,1.37936,0.55464,0.57143,0.55059,0.18586,2.20103,1.94803,2.82851,0.000603752,0.000603752,0.000603752
177,3968.7,1.27375,1.12213,1.37103,0.65362,0.42857,0.48126,0.19345,2.09682,1.97814,2.79644,0.000599037,0.000599037,0.000599037
178,3991.64,1.22863,1.07021,1.33488,0.46525,0.64286,0.50671,0.22564,2.04397,2.14017,2.80208,0.000594321,0.000594321,0.000594321
179,4018.22,1.23459,1.03399,1.33179,0.62091,0.64286,0.60431,0.18824,2.19578,2.08718,2.95051,0.000589605,0.000589605,0.000589605
180,4045.12,1.24156,1.05625,1.33151,0.58057,0.64286,0.57717,0.189,2.12714,2.10788,2.89338,0.00058489,0.00058489,0.00058489
181,4066.84,1.21514,1.03307,1.31074,0.73154,0.77899,0.68315,0.24494,2.09176,2.06063,2.89623,0.000580174,0.000580174,0.000580174
182,4093.99,1.28781,1.07552,1.35945,0.69512,0.71429,0.61965,0.22466,2.16294,1.98663,2.94991,0.000575458,0.000575458,0.000575458
183,4119.95,1.24642,1.09236,1.3426,0.58091,0.71429,0.66225,0.23712,2.10434,1.80672,2.78309,0.000570743,0.000570743,0.000570743
184,4141.29,1.21135,1.02205,1.32522,0.92226,0.35714,0.48424,0.17335,2.22173,2.07783,2.95154,0.000566027,0.000566027,0.000566027
185,4162.46,1.23367,1.03607,1.34128,0.63713,0.64286,0.61464,0.205,2.29693,2.06822,3.11117,0.000561311,0.000561311,0.000561311
186,4188.17,1.23803,1.05675,1.33132,0.4116,0.5,0.39601,0.20451,2.3511,2.31403,3.10244,0.000556595,0.000556595,0.000556595
187,4215.38,1.2259,1.0358,1.33549,0.42223,0.64286,0.42894,0.22684,2.11565,1.89154,2.9103,0.00055188,0.00055188,0.00055188
188,4239.02,1.22516,1.0707,1.35138,0.76456,0.69695,0.63943,0.2176,2.06321,1.91748,2.9288,0.000547164,0.000547164,0.000547164
189,4259.97,1.21792,1.02045,1.32907,0.81962,0.5,0.64395,0.18661,2.12512,2.08267,3.04219,0.000542448,0.000542448,0.000542448
190,4281.05,1.21715,1.04147,1.31382,0.85352,0.64286,0.69669,0.24631,2.10279,1.84475,2.86213,0.000537733,0.000537733,0.000537733
191,4313.1,1.18711,0.98615,1.31104,0.60967,0.5587,0.50056,0.14151,2.36381,1.95247,3.27959,0.000533017,0.000533017,0.000533017
192,4336.53,1.18288,1.01432,1.3055,0.49106,0.71429,0.51435,0.18019,2.30268,2.0394,3.23658,0.000528301,0.000528301,0.000528301
193,4357.78,1.19398,1.01012,1.30649,0.40114,0.64286,0.47127,0.14802,2.19383,2.14833,3.04286,0.000523586,0.000523586,0.000523586
194,4378.33,1.17971,0.9906,1.31232,0.49196,0.71429,0.542,0.16398,2.23388,1.92735,3.12277,0.00051887,0.00051887,0.00051887
195,4399.4,1.21335,1.02664,1.32958,0.48313,0.71429,0.56124,0.19492,2.12888,2.0541,2.98661,0.000514154,0.000514154,0.000514154
196,4420.66,1.18121,0.99204,1.30399,0.43606,0.77366,0.55949,0.23709,2.11574,2.07808,2.80718,0.000509438,0.000509438,0.000509438
197,4446.42,1.20732,1.01899,1.31739,0.48604,0.71429,0.57868,0.24128,2.1235,2.13305,3.05494,0.000504723,0.000504723,0.000504723
198,4473.14,1.19452,1.00009,1.30378,0.62857,0.5,0.46626,0.19242,2.0885,2.09754,3.08788,0.000500007,0.000500007,0.000500007
199,4497.57,1.19959,0.97633,1.29773,0.83531,0.57143,0.65556,0.24642,2.17392,2.33117,3.05098,0.000495291,0.000495291,0.000495291
200,4528.4,1.20261,0.98597,1.30512,0.43163,0.5,0.3755,0.16286,2.17415,2.14429,3.09693,0.000490576,0.000490576,0.000490576
201,4550.26,1.19101,1.00233,1.32414,0.44696,0.57143,0.47052,0.19298,2.1518,2.1879,2.99988,0.00048586,0.00048586,0.00048586
202,4577.48,1.18289,0.97867,1.31062,0.42561,0.57143,0.44791,0.20921,2.162,2.00245,3.03987,0.000481144,0.000481144,0.000481144
203,4604.55,1.18179,0.98436,1.30058,0.9186,0.57143,0.66548,0.24115,2.10614,2.01523,2.88651,0.000476429,0.000476429,0.000476429
204,4629.14,1.15215,0.95951,1.27751,0.86603,0.5,0.6205,0.21843,2.1063,2.28234,2.84914,0.000471713,0.000471713,0.000471713
205,4650.54,1.16786,0.97974,1.29594,0.6428,0.5,0.4457,0.17745,2.0767,2.41647,2.92922,0.000466997,0.000466997,0.000466997
206,4671.7,1.15508,0.94986,1.27561,0.74867,0.71429,0.69336,0.25597,2.14218,1.95434,2.92703,0.000462281,0.000462281,0.000462281
207,4693.41,1.14905,0.95975,1.28858,0.83696,0.73447,0.76845,0.27247,2.16527,1.85757,3.05349,0.000457566,0.000457566,0.000457566
208,4715.35,1.1759,0.97867,1.30505,0.49237,0.64286,0.58989,0.22834,2.03843,1.9532,2.74719,0.00045285,0.00045285,0.00045285
209,4736.61,1.19108,1.02026,1.31119,0.58297,0.71429,0.5485,0.23524,2.06575,1.79342,2.8182,0.000448134,0.000448134,0.000448134
210,4757.67,1.16443,0.97294,1.29064,0.54103,0.57143,0.47175,0.18968,2.06437,2.09274,2.83235,0.000443419,0.000443419,0.000443419
211,4778.87,1.13391,0.94861,1.27388,0.59816,0.5,0.50869,0.23077,2.12166,2.23848,2.89127,0.000438703,0.000438703,0.000438703
212,4799.8,1.12115,0.93265,1.27329,0.60141,0.57143,0.57497,0.20023,2.25257,2.14706,3.19448,0.000433987,0.000433987,0.000433987
213,4825.26,1.15345,0.96985,1.28996,0.77027,0.5,0.54558,0.20481,2.23523,2.25002,3.04711,0.000429272,0.000429272,0.000429272
214,4852.4,1.14546,0.95138,1.27903,0.53133,0.57143,0.45142,0.20818,2.2722,2.12033,2.97119,0.000424556,0.000424556,0.000424556
215,4874.5,1.15513,0.95332,1.28331,0.67757,0.42857,0.50192,0.18952,2.27172,1.9007,3.00109,0.00041984,0.00041984,0.00041984
216,4895.78,1.13868,0.95873,1.26976,0.57441,0.5,0.48082,0.18795,2.15969,2.2798,2.92856,0.000415124,0.000415124,0.000415124
217,4916.99,1.12631,0.93824,1.26484,0.4791,0.5,0.49629,0.19715,2.09054,2.33832,3.00595,0.000410409,0.000410409,0.000410409
218,4938.46,1.12574,0.90777,1.2631,0.51927,0.5,0.482,0.20427,2.28917,2.30404,3.13935,0.000405693,0.000405693,0.000405693
219,4964.88,1.12041,0.91696,1.261,0.92834,0.42857,0.54591,0.22853,2.23691,2.14777,3.06975,0.000400977,0.000400977,0.000400977
220,4989.61,1.13624,0.92929,1.27534,0.7032,0.35714,0.47249,0.19522,2.26837,2.29391,3.06045,0.000396262,0.000396262,0.000396262
221,5010.9,1.13834,0.9471,1.28122,0.56978,0.42857,0.47193,0.20527,2.1941,2.61411,3.05517,0.000391546,0.000391546,0.000391546
222,5032.11,1.0932,0.89351,1.23929,0.67547,0.35714,0.46974,0.1933,2.40105,2.4446,3.17841,0.00038683,0.00038683,0.00038683
223,5053.33,1.11654,0.91833,1.25402,0.413,0.5,0.40799,0.14824,2.23206,2.68581,3.05013,0.000382115,0.000382115,0.000382115
224,5074.2,1.09516,0.88401,1.24592,0.60208,0.42857,0.45494,0.17811,2.20309,2.21193,3.1057,0.000377399,0.000377399,0.000377399
225,5095.44,1.13535,0.91517,1.26473,0.75078,0.5,0.55769,0.21588,2.14542,2.07974,2.92583,0.000372683,0.000372683,0.000372683
226,5122.41,1.11133,0.92377,1.27084,0.50991,0.5,0.41934,0.15918,2.23638,2.33655,2.99347,0.000367967,0.000367967,0.000367967
227,5144.04,1.09147,0.90041,1.24131,0.63866,0.64286,0.59067,0.25852,2.30352,2.00346,2.98475,0.000363252,0.000363252,0.000363252
228,5169.4,1.09394,0.88636,1.24246,0.7274,0.57143,0.61302,0.23866,2.29769,2.16494,2.94751,0.000358536,0.000358536,0.000358536
229,5190.77,1.10454,0.87919,1.21908,0.86502,0.64286,0.61717,0.2371,2.27161,2.12329,2.95221,0.00035382,0.00035382,0.00035382
230,5216.6,1.09951,0.89226,1.2487,0.70295,0.57143,0.54143,0.21867,2.23091,2.27916,3.07331,0.000349105,0.000349105,0.000349105
231,5243.27,1.09748,0.90146,1.23985,0.70267,0.71429,0.61981,0.20792,2.13787,2.12535,3.03567,0.000344389,0.000344389,0.000344389
232,5265.38,1.106,0.90905,1.25873,0.76695,0.71429,0.68194,0.27694,2.13513,1.9218,2.95329,0.000339673,0.000339673,0.000339673
233,5290.99,1.09654,0.89519,1.24951,0.76217,0.64286,0.65564,0.24472,2.13974,2.03994,2.96703,0.000334958,0.000334958,0.000334958
234,5317.37,1.05501,0.84458,1.21069,0.62187,0.78571,0.66363,0.19169,2.20256,2.05328,3.0916,0.000330242,0.000330242,0.000330242
235,5342.12,1.1232,0.91785,1.24813,0.5567,0.62866,0.47269,0.1949,2.28814,1.85376,3.14626,0.000325526,0.000325526,0.000325526
236,5368.31,1.11611,0.92367,1.25031,0.61223,0.64286,0.5,0.21061,2.29631,2.10441,3.13042,0.00032081,0.00032081,0.00032081
237,5395.41,1.08667,0.90175,1.23599,0.61242,0.57143,0.40674,0.17136,2.32271,1.93589,3.19137,0.000316095,0.000316095,0.000316095
238,5421.94,1.09071,0.89614,1.23771,0.61051,0.57143,0.45045,0.19878,2.19984,2.00564,2.98087,0.000311379,0.000311379,0.000311379
239,5448.47,1.06074,0.83847,1.22584,0.63825,0.57143,0.47697,0.23063,2.22765,1.93078,2.98686,0.000306663,0.000306663,0.000306663
240,5475.12,1.1276,0.91254,1.27177,0.76242,0.68899,0.6539,0.2773,2.22721,2.01713,2.95448,0.000301948,0.000301948,0.000301948
241,5498.73,1.06422,0.84598,1.22441,0.72413,0.64286,0.64829,0.23453,2.30365,1.88423,3.05091,0.000297232,0.000297232,0.000297232
242,5521.37,1.05125,0.82868,1.20062,0.89614,0.61807,0.68333,0.21705,2.34495,1.8827,3.09033,0.000292516,0.000292516,0.000292516
243,5548.33,1.09048,0.89317,1.26075,0.74041,0.64286,0.56343,0.22501,2.28877,1.78388,3.05783,0.000287801,0.000287801,0.000287801
244,5575.56,1.0725,0.86752,1.22433,0.6416,0.71429,0.61685,0.23664,2.32112,2.08162,3.14634,0.000283085,0.000283085,0.000283085
245,5602.18,1.07394,0.87021,1.22358,0.64015,0.64286,0.55568,0.19935,2.34029,1.92384,3.17036,0.000278369,0.000278369,0.000278369
246,5628.63,1.04513,0.83836,1.20904,0.5143,0.57143,0.41466,0.18766,2.4292,1.86561,3.31482,0.000273654,0.000273654,0.000273654
247,5651.16,1.04547,0.82199,1.21173,0.51721,0.57143,0.39992,0.15679,2.26533,2.28361,3.09147,0.000268938,0.000268938,0.000268938
248,5672.45,1.07294,0.85022,1.24481,0.47844,0.57143,0.38909,0.17716,2.16428,2.09624,3.01607,0.000264222,0.000264222,0.000264222
249,5693.39,1.06311,0.83995,1.2136,0.69935,0.42857,0.44305,0.19211,2.18551,2.21187,2.9502,0.000259506,0.000259506,0.000259506
250,5720.7,1.07441,0.86263,1.23907,0.67731,0.5,0.53081,0.23022,2.15925,1.87167,3.02185,0.000254791,0.000254791,0.000254791
251,5744.26,1.06205,0.85053,1.23026,0.63139,0.64286,0.54924,0.19785,2.13681,2.24926,3.02437,0.000250075,0.000250075,0.000250075
252,5765.63,1.04546,0.8341,1.21698,0.52262,0.64286,0.52808,0.20585,2.17551,2.18397,2.91761,0.000245359,0.000245359,0.000245359
253,5787.1,1.05893,0.85811,1.22063,0.75093,0.5,0.53859,0.19254,2.11832,2.24858,2.87574,0.000240644,0.000240644,0.000240644
254,5813.12,1.01282,0.79427,1.1893,0.62914,0.64286,0.56409,0.24406,2.19652,1.97335,2.91321,0.000235928,0.000235928,0.000235928
255,5840.39,1.06744,0.85669,1.22522,0.65265,0.64286,0.59922,0.26026,2.13647,1.93352,2.99802,0.000231212,0.000231212,0.000231212
256,5865.49,1.02861,0.84476,1.211,0.72409,0.64286,0.569,0.23865,2.2224,2.12031,3.02095,0.000226497,0.000226497,0.000226497
257,5886.82,1.00026,0.81512,1.18525,0.50932,0.64286,0.44901,0.19742,2.22581,2.43565,3.02492,0.000221781,0.000221781,0.000221781
258,5913.17,1.05473,0.84868,1.21526,0.57227,0.64286,0.49825,0.19324,2.29345,2.31097,3.06885,0.000217065,0.000217065,0.000217065
259,5938.06,1.025,0.81414,1.1951,0.49519,0.57143,0.50172,0.20733,2.22486,2.44251,2.94557,0.000212349,0.000212349,0.000212349
260,5959.42,1.02981,0.8126,1.19697,0.57128,0.57143,0.54021,0.24643,2.18574,2.1349,2.94642,0.000207634,0.000207634,0.000207634
261,5980.49,1.03318,0.82955,1.20243,0.47794,0.57143,0.48172,0.20475,2.28001,1.99023,3.03737,0.000202918,0.000202918,0.000202918
262,6007.52,1.0181,0.80368,1.20376,0.67482,0.64286,0.59078,0.22635,2.20279,1.9549,3.01861,0.000198202,0.000198202,0.000198202
263,6032.49,0.99302,0.81317,1.18776,0.72938,0.5,0.5476,0.20497,2.22473,1.99829,3.04786,0.000193487,0.000193487,0.000193487
264,6054.23,1.00808,0.80004,1.18783,0.81328,0.5,0.55062,0.20069,2.22801,2.04195,3.08716,0.000188771,0.000188771,0.000188771
265,6075.51,1.0165,0.81993,1.19412,0.47267,0.57143,0.51831,0.18372,2.2872,2.13123,3.07458,0.000184055,0.000184055,0.000184055
266,6096.61,0.99997,0.77955,1.17428,0.48972,0.5,0.47946,0.20264,2.2831,1.98383,2.91746,0.00017934,0.00017934,0.00017934
267,6118.02,1.00866,0.81547,1.19096,1,0.32845,0.48668,0.20616,2.34495,2.06877,3.00685,0.000174624,0.000174624,0.000174624
268,6144.88,1.00192,0.78324,1.18207,0.85299,0.41612,0.54166,0.19968,2.3185,2.09233,2.95265,0.000169908,0.000169908,0.000169908
269,6166.27,1.03092,0.81939,1.21689,0.56993,0.42857,0.47081,0.19869,2.22671,2.24127,2.93428,0.000165192,0.000165192,0.000165192
270,6188.48,0.9994,0.7827,1.18771,0.61467,0.5,0.46963,0.20809,2.21494,2.08867,2.99825,0.000160477,0.000160477,0.000160477
